arm,gender,level,pid,case_id,case_group,obsv_seq,obsv_type,seq_1,,seq_2,,seq_3,,seq_4,,seq_tail
0,0,0,P1,AL,G2,1,1,A1,-,G1,-,H1,-,C1,-,F1-B1-H1
0,0,0,P1,AM,G1,1,-1,G1,-,H1,-,B1,-,B6,-,B2
0,0,0,P1,AM,G1,2,-1,O1,-,B4,,,,,,
0,0,0,P1,JA,G3,1,1,A1,-,H1,-,C1,-,H1,,
0,0,0,P1,MF,G2,1,1,B1,-,B2,-,A1,-,H1,-,F1-G1-B1-B2-B6-B2-B8-B2-B1-B2
0,0,0,P1,MR,G3,1,1,B4,-,A1,-,C1,-,H1,-,F1-B1-B2-H1-B1-C1
1,1,0,P10,AL,G2,1,0,B3,-,B1,-,B3,-,H1,,
1,1,0,P10,AL,G2,2,1,A1,-,G1,-,C1,,,,
1,1,0,P10,DP,G1,1,-1,B2,-,H1,-,A1,,,,
1,1,0,P10,MF,G2,1,1,H1,-,G1,-,H1,-,F1,-,H1-B2
1,1,0,P10,MF,G2,2,1,A1,,,,,,,,
1,1,0,P10,MR,G3,1,1,B4,-,A1,-,B1,-,B2,-,D1-B2-G1-H1-I5
1,1,0,P10,ZS,G3,1,1,C1,-,G1,-,C1,,,,
1,1,0,P11,AL,G2,1,2,B1,-,B6,-,B2,-,B3,-,B1-G1-B1-A1
1,1,0,P11,DP,G1,1,-1,B4,-,I2,-,I1,-,I3,,
1,1,0,P11,DP,G1,2,-1,B1,,,,,,,,
1,1,0,P11,JA,G3,1,1,A1,-,C1,,,,,,
1,1,0,P11,JA,G3,2,1,C1,-,H1,-,C1,,,,
1,1,0,P11,JL,G2,1,1,A1,-,C1,-,F1,-,H1,-,D1-G1-H1
1,1,0,P11,ZS,G3,1,1,I1,-,A2,-,H1,-,C1,-,B1-B2-H1-G1-H1-C1-H1-A1
1,1,0,P11,ZS,G3,2,1,C1,-,B1,-,B2,-,C1,-,A1
2,0,2,P12,AL,G2,1,2,B1,-,B5,-,B1,-,D1,-,B1
2,0,2,P12,JA,G3,1,1,A1,,,,,,,,
2,0,2,P12,JL,G1,1,-1,C1,-,D1,-,C1,-,B1,-,B2-D1-I2-I1-I5
2,0,2,P12,MF,G2,1,1,I1,-,B1,-,I2,-,A1,-,I5-I4-I5-I4-B1
2,0,2,P12,MR,G3,1,1,,,,,,,,,
2,0,1,P13,AL,G2,1,0,B6,-,B2,-,B5,-,B7,-,B3-B4-B9-B2-I5-H1
2,0,1,P13,AL,G2,2,1,A1,-,G1,-,B1,-,B5,-,B7-B3-B4-G1-I5-H1-C1-B1-B4
2,0,1,P13,DP,G2,1,1,A1,-,H1,-,C1,-,B1,-,B2-H1-B1-B2-C1-D1-A1-D1-C1
2,0,1,P13,DP,G2,2,1,G1,-,C1,-,G1,-,C1,-,H1-D1-B1-B5-B3-B4
2,0,1,P13,JA,G3,1,1,A1,-,C1,-,D1,-,A1,-,D1-I5-D1
2,0,1,P13,JA,G3,2,1,C1,-,I5,-,D1,,,,
2,0,1,P13,MR,G3,1,1,A1,-,B1,-,B2,-,B8,-,B2-C1-B1-B2-B8-B2-B8-C1-D1
0,0,0,P14,AM,G2,1,1,,,,,,,,,
0,0,0,P14,DP,G1,1,-1,D1,-,B1,-,G1,-,B1,-,B2-B6-B4-B9-B3
0,0,0,P14,DP,G1,2,-1,O1,-,I2,-,I1,-,I3,,
0,0,0,P14,DP,G1,3,-1,I3,-,I5,,,,,,
0,0,0,P14,DP,G1,4,-1,I1,-,D1,-,O1,-,C1,,
0,0,0,P14,JA,G3,1,1,A1,-,D1,-,C1,-,H1,-,C1
0,0,0,P14,JA,G3,2,1,D1,,,,,,,,
0,0,0,P14,JA,G3,3,1,,,,,,,,,
0,0,0,P14,JA,G3,4,1,D1,-,C1,-,B1,-,B2,-,B6-B1-B2-B6-H1-E2-C1
0,0,0,P14,JA,G3,5,1,D1,,,,,,,,
0,0,0,P14,JA,G3,6,1,D1,-,B1,-,B4,-,H1,-,C1
0,0,0,P14,JL,G2,1,1,,,,,,,,,
0,0,0,P14,ZS,G3,1,1,,,,,,,,,
0,0,0,P14,ZS,G3,2,1,A2,-,H1,-,D1,-,A1,,
0,0,0,P15,AL,G2,1,0,B1,-,B2,-,B5,-,B3,-,B4-A1
0,0,0,P15,AL,G2,2,0,B1,-,B3,-,A1,,,,
0,0,0,P15,AL,G2,3,0,B1,-,B7,-,B3,-,B4,-,B9-O1-B3-B2-B3-A1
0,0,0,P15,AL,G2,4,2,H1,-,B1,-,B7,-,B3,-,B4-B3-G1-H1-B1-B3-B4-B3-B7-B5-B8-B2-B6-B1-H1-B1-B9-B4-B3-B4-B3-H1-G1-H1
0,0,0,P15,AL,G2,5,1,B4,-,B3,-,A1,,,,
0,0,0,P15,AM,G3,1,1,A1,-,G1,-,H1,-,G1,-,H1-G1-H1-G1-H1-B1-B2-H1
0,0,0,P15,AM,G3,2,1,G1,-,B1,-,B2,-,O1,-,H1
0,0,0,P15,AM,G3,3,1,,,,,,,,,
0,0,0,P15,JA,G3,1,1,A1,-,G1,-,B1,-,B2,-,H1-G1-H1-G1-H1-B1-B2
0,0,0,P15,JL,G1,1,-1,G1,,,,,,,,
0,0,0,P15,MR,G2,1,0,B2,,,,,,,,
0,0,0,P15,MR,G2,2,1,A1,-,G1,-,H1,-,B1,-,B2-H1-G1-C1-D1-F1-D1-H1-G1-H1-G1-H1-B1-B2-B8-B7-B4-A1
1,0,1,P16,AM,G2,1,1,A1,-,B1,-,B2,-,H1,-,B1-B2-G1-I1-I5-I1-H1-A1
1,0,1,P16,DP,G2,1,0,I5,-,O1,-,I2,-,I1,-,I3-I5-I3-I5-I3-I1-B1-B6-B2-B4-B3-O1-B2-B5-B4-B9-H1
1,0,1,P16,DP,G2,2,1,A1,-,H1,-,B1,-,B2,-,B1-H1-G1-B1-B9-A1
1,0,1,P16,JA,G3,1,1,B2,-,A1,-,C1,-,E2,-,H1-B1-B2-B1-B6-B2-H1-D1-C1-D1
1,0,1,P16,JA,G3,2,1,,,,,,,,,
1,0,1,P16,JL,G1,1,-1,E2,,,,,,,,
1,0,1,P16,JL,G1,2,-1,G1,-,B1,-,B4,,,,
1,0,1,P16,MF,G1,1,-1,,,,,,,,,
1,0,1,P16,ZS,G3,1,1,A2,-,H1,-,B1,-,B2,-,B1-B2-H1-B1-B2-B1-B6-B2-D1-F1-D1-I5-C1
1,0,1,P16,ZS,G3,2,1,D1,,,,,,,,
2,0,0,P17,DP,G1,1,-1,G1,-,D1,-,I2,-,I1,-,I3-I5-I3-I5-I3-I5-I3-I5-I1-D1
2,0,0,P17,DP,G1,2,-1,B1,-,B6,-,B2,-,B5,-,B3-B4-B9-H1
2,0,0,P17,JA,G3,1,1,A1,-,B1,-,B2,-,D1,-,B1-B2-D1
2,0,0,P17,JA,G3,2,1,D1,-,H1,-,D1,-,A1,,
2,0,0,P17,JA,G3,3,1,E2,-,A1,,,,,,
2,0,0,P17,JL,G2,1,1,A1,-,D1,-,B1,-,B6,,
2,0,0,P17,MF,G2,1,1,,,,,,,,,
2,0,0,P17,MR,G3,1,1,A1,-,D1,-,A1,-,B1,-,B2-B6-H1-B1-B6-H1-G1-B1-B6-B2-G1-D1-G1-D1-E2-A1
2,0,0,P17,MR,G3,2,1,D1,,,,,,,,
2,1,0,P18,AL,G1,1,-1,B1,-,B5,-,B3,,,,
2,1,0,P18,AL,G1,2,-1,B1,-,B3,-,B5,-,B3,,
2,1,0,P18,DP,G2,1,0,H1,-,G1,-,A1,,,,
2,1,0,P18,DP,G2,2,1,A1,-,H1,-,G1,-,C1,-,D1-E2-D1-G1
2,1,0,P18,JA,G3,1,1,A1,-,G1,-,D1,-,C1,-,D1
2,1,0,P18,JA,G3,2,1,A2,,,,,,,,
2,1,0,P18,JL,G1,1,-1,G1,-,A1,,,,,,
2,1,0,P18,MF,G2,1,1,A1,-,G1,-,B1,-,B2,-,H1
2,1,0,P18,MF,G2,2,1,I5,,,,,,,,
2,1,0,P18,MF,G2,3,1,B1,,,,,,,,
2,1,0,P18,ZS,G3,1,1,A2,-,G1,-,D1,-,F1,-,C1-G1-H1-A1
2,1,0,P18,ZS,G3,2,1,,,,,,,,,
0,1,1,P19,AL,G1,1,-1,B1,-,B6,-,B2,-,B8,-,B5-B7-B3-B4-B9-O1-A1
0,1,1,P19,JL,G2,1,0,B1,,,,,,,,
0,1,1,P19,JL,G2,2,0,A1,-,G1,,,,,,
0,1,1,P19,JL,G2,3,1,A1,-,B1,-,B2,-,B6,-,D1-B1-B9-I2-I1-I5-I1-D1
0,1,1,P19,MF,G2,1,1,A1,-,B1,-,B2,-,G1,-,H1-B1-B6-B2-O1-B4-G1-H1-A1
0,1,1,P19,MR,G3,1,1,A1,-,B1,-,B2,-,B1,-,B2-H1-B1-D1-G1
0,1,1,P19,ZS,G3,1,1,D1,-,A2,-,H1,-,G1,-,D1-H1-D1
2,0,0,P2,AM,G1,1,-1,A1,-,D1,-,B1,-,B2,,
2,0,0,P2,AM,G1,2,-1,A1,,,,,,,,
2,0,0,P2,DP,G2,1,0,D1,-,C1,,,,,,
2,0,0,P2,DP,G2,2,2,A1,-,D1,-,B1,-,B2,-,G1-H1-B1-B2-E2
2,0,0,P2,JA,G3,1,1,A1,-,B1,-,D1,-,C1,-,H1-C1-D1
2,0,0,P2,JA,G3,2,1,E2,-,A2,,,,,,
2,0,0,P2,JA,G3,3,1,,,,,,,,,
2,0,0,P2,JA,G3,4,1,D1,-,C1,-,H1,,,,
2,0,0,P2,JL,G1,1,-1,C1,-,B1,-,B9,-,D1,,
2,0,0,P2,JL,G1,2,-1,A1,,,,,,,,
2,0,0,P2,JL,G1,3,-1,A1,,,,,,,,
2,0,0,P2,MF,G2,1,0,D1,-,C1,-,D1,-,C1,-,H1-B1-B6-E2
2,0,0,P2,MF,G2,2,1,A1,-,D1,-,C1,-,H1,,
2,0,0,P2,ZS,G3,1,1,A2,-,B1,-,B2,-,G1,-,B1-H1-B1-B2-B1-H1-D1-C1-B1-B2-B1-G1-E2
2,0,0,P2,ZS,G3,2,1,C1,-,A1,,,,,,
2,0,0,P20,AL,G2,1,0,E2,-,D1,-,C1,,,,
2,0,0,P20,AL,G2,2,0,D1,,,,,,,,
2,0,0,P20,AL,G2,3,1,D1,-,A1,-,H1,-,B1,-,B3-B5-B2-B1-B7-B4-B9-B2-H1-A1
2,0,0,P20,AL,G2,4,1,B1,-,D1,-,B1,-,B6,-,B2-D1-A1
2,0,0,P20,AM,G2,1,1,A1,-,H1,,,,,,
2,0,0,P20,AM,G2,2,1,D1,-,C1,,,,,,
2,0,0,P20,AM,G2,3,1,D1,-,C1,,,,,,
2,0,0,P20,AM,G2,4,1,C1,,,,,,,,
